,class,imageID,filename,width,height,color1,color2,color3,color4,color5,color6,color7,color8,color9,color10,color11,color12,color13,color14,color15,color16,color17,color18,color19,color20,color21,color22,color23,color24,color25,color26,color27,color28,color29,color30,color31,color32,color33,color34,color35,color36,color37,color38,color39,color40,color41,color42,color43,color44,color45,color46,color47,color48,hog1,hog2,hog3,hog4,hog5,hog6,hog7,hog8,hog9,mag1,mag2,mag3,mag4,mag5,mag6,mag7,mag8,mag9,mag10,mag11,mag12,mag13,mag14,mag15,mag16
0,roof,0,0.png,80,80,0.0,0.0,0.0,0.0,0.0,0.0009374999790452421,0.006562499795109034,0.0045312498696148396,0.04703124985098839,0.21687500178813934,0.3814062476158142,0.2017187476158142,0.040312498807907104,0.009999999776482582,0.029218750074505806,0.061406251043081284,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999888241291,0.0009374999790452421,0.019999999552965164,0.0024999999441206455,0.008750000037252903,0.05000000074505806,0.2434374988079071,0.3240624964237213,0.2043749988079071,0.14093750715255737,0.0,0.0,0.0,0.0,0.0,0.0234375,0.0003124999930150807,0.0006249999860301614,0.0015625000232830644,0.0,0.0026562500279396772,0.023125000298023224,0.0949999988079071,0.3165625035762787,0.3048437535762787,0.2318750023841858,0.2645204519479014,0.06084195294531641,0.1356880619707455,0.045544088752715775,0.18385742875778355,0.06090861858178892,0.12310367656214977,0.06854533483149379,0.05699038565010486,0.823125,0.12453125,0.019375,0.00671875,0.0084375,0.005625,0.00875,0.000625,0.0028125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,roof,1,1.png,80,80,0.0,0.00015624999650754035,0.008906249888241291,0.04859374836087227,0.12140624970197678,0.11796875298023224,0.19374999403953552,0.19687500596046448,0.05624999850988388,0.1301562488079071,0.03296874836087227,0.024531250819563866,0.04609375074505806,0.014843749813735485,0.007499999832361937,0.0,0.0,0.0003124999930150807,0.008281249552965164,0.03734375163912773,0.07000000029802322,0.14640624821186066,0.2554687559604645,0.16515624523162842,0.11234375089406967,0.06078125163912773,0.04531250149011612,0.04984375089406967,0.02640625089406967,0.014843749813735485,0.007499999832361937,0.0,0.0,0.0007812500116415322,0.02250000089406967,0.053437501192092896,0.1198437511920929,0.16718749701976776,0.15781250596046448,0.15953125059604645,0.11359374970197678,0.061406251043081284,0.06734374910593033,0.05000000074505806,0.0012499999720603228,0.017812499776482582,0.007499999832361937,0.0,0.1680784977331177,0.12624720020949054,0.16792917820501824,0.07776473085472242,0.18138180896591477,0.0807479697590199,0.11575044711213815,0.053726642857844835,0.028373524302733454,0.34734375,0.42578125,0.17484375,0.04296875,0.00515625,0.0025,0.00140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,roof,2,2.png,80,80,0.02421874925494194,0.0037499999161809683,0.008281249552965164,0.04437499865889549,0.08687499910593033,0.07921875268220901,0.11890625208616257,0.15140624344348907,0.08828125149011612,0.1951562464237213,0.051249999552965164,0.04046874865889549,0.07062499970197678,0.02046874910593033,0.014218750409781933,0.0024999999441206455,0.02421874925494194,0.005937499925494194,0.010781249962747097,0.03375000134110451,0.054375000298023224,0.09140624850988388,0.15781250596046448,0.1262499988079071,0.14015625417232513,0.12984375655651093,0.06796874850988388,0.08203125,0.03828125074505806,0.02046874910593033,0.014218750409781933,0.0024999999441206455,0.02421874925494194,0.006718750111758709,0.021250000223517418,0.034687500447034836,0.07703124731779099,0.10125000029802322,0.09468749910593033,0.11828125268220901,0.1431249976158142,0.1303125023841858,0.12203124910593033,0.08203125,0.002812500111758709,0.024843750521540642,0.014218750409781933,0.0024999999441206455,0.1695992637449013,0.16339218381658271,0.17140117383167555,0.06979341903577115,0.14617644814258401,0.07325544294643545,0.11577886221567382,0.0565459592583437,0.03405724700803228,0.31609375,0.39546875,0.19203125,0.0703125,0.01609375,0.00703125,0.00265625,0.0003125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,roof,3,3.png,80,80,0.030625000596046448,0.006562499795109034,0.02250000089406967,0.053437501192092896,0.07015624642372131,0.10718750208616257,0.12531250715255737,0.12125000357627869,0.09171874821186066,0.14234374463558197,0.09718749672174454,0.06046874821186066,0.035624999552965164,0.009687500074505806,0.013749999925494194,0.012187499552965164,0.03140624985098839,0.012656250037252903,0.019062500447034836,0.03578124940395355,0.061250001192092896,0.10062500089406967,0.13718749582767487,0.1159375011920929,0.11281249672174454,0.11968749761581421,0.10734374821186066,0.07515624910593033,0.035468749701976776,0.009687500074505806,0.013749999925494194,0.012187499552965164,0.030625000596046448,0.010781249962747097,0.02109375037252903,0.025156250223517418,0.06046874821186066,0.08484374731779099,0.08421874791383743,0.11874999850988388,0.11406250298023224,0.10750000178813934,0.10015624761581421,0.09281250089406967,0.09281250089406967,0.021562499925494194,0.022968750447034836,0.012187499552965164,0.16759624636740883,0.15118186757560795,0.16698258037908423,0.07509028682600302,0.1322227925038081,0.07522053147581734,0.13024446983513416,0.06188142039271148,0.03957980464442491,0.315625,0.3865625,0.19625,0.0740625,0.01953125,0.0059375,0.001875,0.00015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,roof,4,4.png,80,80,0.016875000670552254,0.017031250521540642,0.055156249552965164,0.07500000298023224,0.09375,0.13734374940395355,0.12406250089406967,0.08734375238418579,0.05453125014901161,0.07609374821186066,0.10687500238418579,0.09468749910593033,0.03312499821186066,0.011406250298023224,0.007031249813735485,0.009687500074505806,0.012656250037252903,0.022812500596046448,0.046562500298023224,0.042500000447034836,0.08890625089406967,0.12828125059604645,0.13453124463558197,0.10093750059604645,0.07406249642372131,0.06328125298023224,0.09687499701976776,0.08265624940395355,0.07781250029802322,0.011406250298023224,0.007031249813735485,0.009687500074505806,0.016875000670552254,0.020625000819563866,0.03359375149011612,0.047343749552965164,0.06750000268220901,0.09781250357627869,0.09421875327825546,0.1287499964237213,0.07390625029802322,0.05000000074505806,0.06437499821186066,0.0910937488079071,0.14343750476837158,0.04453124850988388,0.016249999403953552,0.009687500074505806,0.15081677008520572,0.11732263637068335,0.14829792603587258,0.0923532917497309,0.15799040851208052,0.08349891479472699,0.13557845042381195,0.06845258979826027,0.04568901222962769,0.3409375,0.39859375,0.19359375,0.055625,0.00875,0.00171875,0.000625,0.00015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,roof,5,5.png,80,80,0.03359375149011612,0.04609375074505806,0.18000000715255737,0.20015625655651093,0.28421875834465027,0.0832812488079071,0.07093749940395355,0.07093749940395355,0.02046874910593033,0.009531250223517418,0.00046874998952262104,0.0003124999930150807,0.0,0.0,0.0,0.0,0.02421874925494194,0.09359374642372131,0.13249999284744263,0.11874999850988388,0.19343750178813934,0.22421875596046448,0.11531250178813934,0.06312499940395355,0.032499998807907104,0.0012499999720603228,0.0007812500116415322,0.0003124999930150807,0.0,0.0,0.0,0.0,0.03359375149011612,0.10093750059604645,0.13124999403953552,0.2581250071525574,0.17156249284744263,0.13453124463558197,0.07140625268220901,0.05796875059604645,0.029999999329447746,0.0062500000931322575,0.0043750000186264515,0.0,0.0,0.0,0.0,0.0,0.14194643287795386,0.061775684031149296,0.1360551450216405,0.07260927726529556,0.23168669909323583,0.11473036517853712,0.153113670060611,0.06334397757631016,0.024738748895266633,0.48296875,0.4159375,0.08890625,0.01171875,0.00046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,roof,6,6.png,80,80,0.04125000163912773,0.02640625089406967,0.09046874940395355,0.09203124791383743,0.12609374523162842,0.13578124344348907,0.13750000298023224,0.15421874821186066,0.04593750089406967,0.09578125178813934,0.020937500521540642,0.013593750074505806,0.01953125,0.00046874998952262104,0.0,0.0,0.03968749940395355,0.04937500134110451,0.058906249701976776,0.06046874821186066,0.10531249642372131,0.12843750417232513,0.2134374976158142,0.1354687511920929,0.0859375,0.05953124910593033,0.029062500223517418,0.023593749850988388,0.010312500409781933,0.00046874998952262104,0.0,0.0,0.04125000163912773,0.044062498956918716,0.06484375149011612,0.09062500298023224,0.09749999642372131,0.15078124403953552,0.14109374582767487,0.12921875715255737,0.08359374850988388,0.05093749985098839,0.03968749940395355,0.034062501043081284,0.03187499940395355,0.00046874998952262104,0.0,0.0,0.11447918836695287,0.07429448197995234,0.11701168986543874,0.06528320212178647,0.191020724528191,0.15448473283294054,0.2040070615331536,0.05739456202781264,0.022024356743771834,0.3840625,0.410625,0.15296875,0.04375,0.008125,0.00046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,roof,7,7.png,80,80,0.09000000357627869,0.028437500819563866,0.0637499988079071,0.07531250268220901,0.11281249672174454,0.12703125178813934,0.12484374642372131,0.12687499821186066,0.03687499836087227,0.10781250149011612,0.036249998956918716,0.028750000521540642,0.03515625,0.0015625000232830644,0.0023437500931322575,0.0021875000093132257,0.09437499940395355,0.03765625134110451,0.04781249910593033,0.055156249552965164,0.0871874988079071,0.10984375327825546,0.18937499821186066,0.11281249672174454,0.07500000298023224,0.07171875238418579,0.04437499865889549,0.05312500149011612,0.015468750149011612,0.0015625000232830644,0.0023437500931322575,0.0021875000093132257,0.09000000357627869,0.04156250134110451,0.05484374985098839,0.06234375014901161,0.09531249850988388,0.12984375655651093,0.11187499761581421,0.11156249791383743,0.08484374731779099,0.058906249701976776,0.06687500327825546,0.05375000089406967,0.03203124925494194,0.0017187499906867743,0.0023437500931322575,0.0021875000093132257,0.1261915459148113,0.09131929728424029,0.12785797042570565,0.07695135527869926,0.18169900150448906,0.12212543870145114,0.18305526381345974,0.06009790806663378,0.03070221901050977,0.34171875,0.38078125,0.1909375,0.069375,0.01390625,0.00265625,0.000625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,roof,8,8.png,80,80,0.07406249642372131,0.02437499910593033,0.07234375178813934,0.09015624970197678,0.15000000596046448,0.1642187535762787,0.15656250715255737,0.10593750327825546,0.03718750178813934,0.04203125089406967,0.032343748956918716,0.02640625089406967,0.018437499180436134,0.0014062500558793545,0.0023437500931322575,0.0021875000093132257,0.07859375327825546,0.03218749910593033,0.05640624836087227,0.06750000268220901,0.11421874910593033,0.15531249344348907,0.20640625059604645,0.10218749940395355,0.05999999865889549,0.03609374910593033,0.029999999329447746,0.042500000447034836,0.012656250037252903,0.0014062500558793545,0.0023437500931322575,0.0021875000093132257,0.07406249642372131,0.033906251192092896,0.05453125014901161,0.06640625,0.11749999970197678,0.15937499701976776,0.1276562511920929,0.13484375178813934,0.08359374850988388,0.04359374940395355,0.05078125,0.03359375149011612,0.011250000447034836,0.0043750000186264515,0.0023437500931322575,0.0021875000093132257,0.14595764835864417,0.13007329369702428,0.16164487296713856,0.10736119207987341,0.1653251455812129,0.07511911870708117,0.10907515755897342,0.060368612452314334,0.04507495859773781,0.28625,0.40765625,0.21203125,0.07609375,0.01390625,0.00328125,0.00078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,roof,9,9.png,80,80,0.012031249701976776,0.010625000111758709,0.05140624940395355,0.0676562488079071,0.11265625059604645,0.14124999940395355,0.15906250476837158,0.12859374284744263,0.05703125149011612,0.062031250447034836,0.07406249642372131,0.07374999672174454,0.030937500298023224,0.00937500037252903,0.0026562500279396772,0.006874999962747097,0.013124999590218067,0.020156249403953552,0.042500000447034836,0.054218750447034836,0.09531249850988388,0.1274999976158142,0.1665624976158142,0.12531250715255737,0.08515624701976776,0.05281250178813934,0.05265624821186066,0.07578124850988388,0.07000000029802322,0.00937500037252903,0.0026562500279396772,0.006874999962747097,0.012031249701976776,0.016093749552965164,0.024843750521540642,0.04781249910593033,0.08640625327825546,0.10562500357627869,0.12437500059604645,0.1603125035762787,0.109375,0.061250001192092896,0.06156250089406967,0.07109375298023224,0.07328125089406967,0.036406248807907104,0.0026562500279396772,0.006874999962747097,0.14214258339406208,0.15888833984097858,0.16021691927427428,0.10551516461941468,0.14373167732569225,0.0930815126190819,0.10249999603904007,0.05071859544069417,0.04320521144676198,0.321875,0.38984375,0.1953125,0.07734375,0.0125,0.0025,0.000625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
